orderid,custid,empid,orderdate,requireddate,shippeddate,shipperid,freight,shipname,shipaddress,shipcity,shipregion,shippostalcode,shipcountry,chargeid
10250,34,4,2006-07-08 0:00:00,2006-08-05 0:00:00,2006-07-12 0:00:00,2,65.83,Destination SCQXA,"Rua do Paço, 7890",Rio de Janeiro,RJ,10195,Brazil,{ch_743w32_TEST}
10251,84,3,2006-07-08 0:00:00,2006-08-05 0:00:00,2006-07-15 0:00:00,1,41.34,Ship to 84-A,"3456, rue du Commerce",Lyon,,10342,France,{ch_743w32_TEST}
10252,76,4,2006-07-09 0:00:00,2006-08-06 0:00:00,2006-07-11 0:00:00,2,51.3,Ship to 76-B,"Boulevard Tirou, 9012",Charleroi,,10318,Belgium,{ch_743w32_TEST}
10253,34,3,2006-07-10 0:00:00,2006-07-24 0:00:00,2006-07-16 0:00:00,2,58.17,Destination JPAIY,"Rua do Paço, 8901",Rio de Janeiro,RJ,10196,Brazil,{ch_743w32_TEST}
10254,14,5,2006-07-11 0:00:00,2006-08-08 0:00:00,2006-07-23 0:00:00,2,22.98,Destination YUJRD,Hauptstr. 1234,Bern,,10139,Switzerland,{ch_743w32_TEST}
10255,68,9,2006-07-12 0:00:00,2006-08-09 0:00:00,2006-07-15 0:00:00,3,148.33,Ship to 68-A,Starenweg 6789,Genève,,10294,Switzerland,{ch_743w32_TEST}
10256,88,3,2006-07-15 0:00:00,2006-08-12 0:00:00,2006-07-17 0:00:00,2,13.97,Ship to 88-B,"Rua do Mercado, 5678",Resende,SP,10354,Brazil,{ch_743w32_TEST}
10257,35,4,2006-07-16 0:00:00,2006-08-13 0:00:00,2006-07-22 0:00:00,3,81.91,Destination JYDLM,Carrera1234 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,10199,Venezuela,{ch_743w32_TEST}
10258,20,1,2006-07-17 0:00:00,2006-08-14 0:00:00,2006-07-23 0:00:00,1,140.51,Destination RVDMF,Kirchgasse 9012,Graz,,10157,Austria,{ch_743w32_TEST}
10259,13,4,2006-07-18 0:00:00,2006-08-15 0:00:00,2006-07-25 0:00:00,3,3.25,Destination LGGCH,Sierras de Granada 9012,México D.F.,,10137,Mexico,{ch_743w32_TEST}
10260,56,4,2006-07-19 0:00:00,2006-08-16 0:00:00,2006-07-29 0:00:00,1,55.09,Ship to 56-A,Mehrheimerstr. 0123,Köln,,10258,Germany,{ch_743w32_TEST}
